# Excluded rare, archaic, obsolete, historical, or legacy guesses
# Source: C:\Users\T-Dawg\vswordle\UnknownMediocreTutorial\server\wordlists\allowed_words.txt
# All words marked as feasible secrets, or listed in allowed_secrets.txt, were protected.
# Reviewed terms were removed by explicit category.
# Other non-secret terms were removed when their source Frequency was below 1.
# Protected secret rows kept: 4164
# Modern zero-frequency exceptions kept: 23
# Total excluded rows: 4811
#
word	frequency	probability	plural	reason
apage	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apaid	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apayd	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apays	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apeak	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apeek	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apery	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apian	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apiol	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apish	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apism	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apods	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apoop	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aport	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
appay	0	0	0	reviewed: obsolete or superseded spelling/form
appuy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
apses	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aquas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
araks	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arame	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arbas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ardeb	0	0	0	reviewed: historical measure, coin, title, object, or specialized legacy term
ardri	0	0	0	reviewed: historical measure, coin, title, object, or specialized legacy term
aread	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
areae	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arear	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aredd	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arede	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arefy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
areic	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arepa	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arere	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arets	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arett	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
argal	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
argil	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
argle	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
